seq,est_x,est_y,est_z,est_scaled_x,est_scaled_y,est_scaled_z,gt_initial_x,gt_initial_y,gt_initial_z,gt_x,gt_y,gt_theta
25,-6.485074043,0.005679412,19.766296387,-1.293571234,0.001132867,3.942763329,4.136330128,1.101410031,0.000000000,4.136330128,1.101410031,1.454560041
26,-7.480974674,0.004960997,19.882633209,-1.492222548,0.000989565,3.965968847,4.159560204,1.300359964,0.000000000,4.159560204,1.300359964,1.454560041
27,-8.476950645,-0.002290659,19.988887787,-1.690888882,-0.000456915,3.987163544,4.182779789,1.499300003,0.000000000,4.182779789,1.499300003,1.454560041
28,-9.472368240,-0.002192311,20.103403091,-1.889443874,-0.000437298,4.010005951,4.206009865,1.698240042,0.000000000,4.206009865,1.698240042,1.454560041
29,-10.470611572,-0.006452939,20.211462021,-2.088562489,-0.001287161,4.031559944,4.229229927,1.897189975,0.000000000,4.229229927,1.897189975,1.454560041
30,-11.462341309,-0.015003545,20.323488235,-2.286381721,-0.002992742,4.053905964,4.252460003,2.096129894,0.000000000,4.252460003,2.096129894,1.454560041
31,-12.448147774,-0.013234728,20.434980392,-2.483019590,-0.002639918,4.076145172,4.275680065,2.294879913,0.000000000,4.275680065,2.294879913,1.454560041
32,-13.440690994,0.003069889,20.563135147,-2.681001186,0.000612348,4.101707935,4.298989773,2.494250059,0.000000000,4.298989773,2.494250059,1.454560041
33,-14.439722061,-0.004800743,20.686092377,-2.880276918,-0.000957599,4.126234055,4.322289944,2.693609953,0.000000000,4.322289944,2.693609953,1.454560041
34,-15.438719749,-0.000994368,20.809133530,-3.079545975,-0.000198346,4.150776863,4.345590115,2.892980099,0.000000000,4.345590115,2.892980099,1.454560041
35,-16.422870636,-0.013397719,20.901805878,-3.275853634,-0.002672430,4.169262409,4.368889809,3.092339993,0.000000000,4.368889809,3.092339993,1.454560041
36,-17.418651581,0.002130542,21.018989563,-3.474481106,0.000424977,4.192636967,4.392189980,3.291709900,0.000000000,4.392189980,3.291709900,1.454560041
37,-18.433126450,0.002561865,21.138988495,-3.676837206,0.000511013,4.216572762,4.415490150,3.491070032,0.000000000,4.415490150,3.491070032,1.454560041
38,-19.445421219,-0.038720448,21.237455368,-3.878758669,-0.007723529,4.236214161,4.438799858,3.690439939,0.000000000,4.438799858,3.690439939,1.454560041
39,-20.439643860,-0.039914362,21.353719711,-4.077075481,-0.007961678,4.259405136,4.462100029,3.889800072,0.000000000,4.462100029,3.889800072,1.454560041
40,-21.514499664,-0.038615931,21.412918091,-4.291475773,-0.007702681,4.271213531,4.485400200,4.089139938,0.000000000,4.485400200,4.089139938,1.454560041
41,-22.520563126,-0.047024012,21.538635254,-4.492154121,-0.009379833,4.296289921,4.508520126,4.287869930,0.000000000,4.508520126,4.287869930,1.454560041
42,-23.526504517,-0.039784417,21.616744995,-4.692808151,-0.007935758,4.311870575,4.531700134,4.486680031,0.000000000,4.531700134,4.486680031,1.454560041
43,-24.545549393,-0.122781940,21.748058319,-4.896076202,-0.024491191,4.338063240,4.554989815,4.686319828,0.000000000,4.554989815,4.686319828,1.454560041
44,-25.532560349,-0.105849050,21.846260071,-5.092954159,-0.021113604,4.357651711,4.578279972,4.885960102,0.000000000,4.578279972,4.885960102,1.454560041
45,-26.527648926,-0.080620483,21.980400085,-5.291443825,-0.016081287,4.384408474,4.601570129,5.085609913,0.000000000,4.601570129,5.085609913,1.454560041
46,-27.568862915,-0.143541545,22.087514877,-5.499133587,-0.028632088,4.405774593,4.624859810,5.285250187,0.000000000,4.624859810,5.285250187,1.454560041
47,-28.525657654,-0.072268158,22.206239700,-5.689984322,-0.014415258,4.429456234,4.648149967,5.484889984,0.000000000,4.648149967,5.484889984,1.454560041
48,-29.570922852,-0.067645997,22.282405853,-5.898482323,-0.013493279,4.444649220,4.671440125,5.684539795,0.000000000,4.671440125,5.684539795,1.454560041
49,-30.572963715,-0.273970574,22.311920166,-6.098358631,-0.054648638,4.450536251,4.694729805,5.884180069,0.000000000,4.694729805,5.884180069,1.454560041
50,-31.545944214,-0.215255097,22.482910156,-6.292438030,-0.042936720,4.484643459,4.718019962,6.083829880,0.000000000,4.718019962,6.083829880,1.454560041
51,-32.448081970,-0.311309338,22.569509506,-6.472386360,-0.062096562,4.501917362,4.741509914,6.282450199,0.000000000,4.741509914,6.282450199,1.381559968
52,-32.448299408,-0.149791583,22.972911835,-6.472429752,-0.029878777,4.582383633,4.748509884,6.305980206,0.000000000,4.748509884,6.305980206,1.181499958
53,-32.525138855,-0.047321800,23.157148361,-6.487756729,-0.009439232,4.619132996,4.760049820,6.327660084,0.000000000,4.760049820,6.327660084,0.981446981
