landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z,aligned_x,aligned_y,aligned_z,gt_first_x,gt_first_y,gt_first_z,error,error_rigid_aligned
924,-43.631004333,-2.070756912,2.215965271,-8.703032494,-0.413051814,0.442016363,0.720869601,8.707684517,0.394321203,0.662092984,8.704999924,0.415329993,13.070775032,0.062476132
926,-13.079807281,-1.564916611,28.700523376,-2.609016180,-0.312152356,5.724864483,5.995861053,2.606546879,0.315044016,5.939119816,2.615259886,0.313165009,10.532181740,0.057437055
927,-3.383528709,-4.779912949,7.026718616,-0.674909115,-0.953444481,1.401612520,1.667178750,0.678102136,0.936450124,1.607789993,0.677913010,0.957626998,2.840627670,0.063051730
928,-6.433760643,-4.181787491,18.594400406,-1.283335805,-0.834136963,3.709006548,3.975903273,1.283438206,0.827620029,3.920900106,1.287459970,0.836799026,6.311483383,0.055908646
929,-7.157788277,-5.894077301,3.453854561,-1.427756906,-1.175685763,0.688936889,0.954539418,1.431846023,1.155750513,0.963599980,1.466230035,1.160650015,3.594554186,0.035893720
932,-42.086677551,-6.111237526,39.100143433,-8.394987106,-1.219002485,7.799266338,8.074030876,8.389419556,1.232957840,8.004150391,8.383859634,1.222669959,20.109657288,0.070852205
935,22.360244751,-1.319203854,25.434827805,4.460175514,-0.263140261,5.073459625,5.335111618,-4.461739540,0.260896683,5.303530216,-4.486649990,0.264503002,6.455644608,0.040384661
937,-15.925639153,-0.529921532,-5.170026779,-3.176671267,-0.105702922,-1.031260014,-0.758501887,3.183421135,0.078663811,-0.862393975,3.136509895,0.106664002,4.142787933,0.117380753
939,-6.827724457,-3.462042093,22.719148636,-1.361919403,-0.690570056,4.531765938,4.799400330,1.360951185,0.687746465,4.745269775,1.365990043,0.692629993,7.501077652,0.054583475
942,4.785816193,-1.853810310,3.539701700,0.954621971,-0.369777679,0.706060767,0.972030342,-0.950303853,0.349174500,0.918109000,-0.970674992,0.373881996,0.687570751,0.062713273
944,1.902075768,-6.976789951,-7.638905525,0.379405141,-1.391653299,-1.523724794,-1.261507154,-0.372382402,1.361283302,-0.919588029,-0.017087501,1.261669993,3.366784334,0.503056645
947,-35.282073975,-7.244668007,8.968196869,-7.037680149,-1.445086718,1.788877249,2.060861111,7.040188789,1.431822777,2.020910025,6.996520042,1.434999943,12.387251854,0.059271771
948,-33.086563110,-5.724626064,48.472602844,-6.599743843,-1.141885400,9.668781281,9.941438675,6.591669083,1.163607121,9.892490387,6.626910210,1.153599977,20.121040344,0.061139308
949,39.124000549,-0.567394733,26.709526062,7.804025173,-0.113177657,5.327722549,5.585514069,-7.805883408,0.111012861,5.559899807,-7.851329803,0.113424003,9.597083092,0.052223358
951,-17.792182922,-3.213280678,32.296707153,-3.548988819,-0.640949905,6.442192078,6.712986946,3.545444727,0.647332251,6.673699856,3.568799973,0.645226002,12.483195305,0.045753460
953,-34.345466614,-9.342556953,-3.974666595,-6.850855827,-1.863550544,-0.792822778,-0.522929013,6.856734276,1.838716865,-0.412782997,6.649270058,1.800019979,10.983612061,0.238056704
958,4.690981865,-9.906050682,-9.649518013,0.935705483,-1.975950003,-1.924779654,-1.665915370,-0.928319633,1.943610907,-1.492149949,-0.743942976,1.877730012,4.676687241,0.261781335
962,9.446238518,-4.643398285,-11.912730217,1.884231806,-0.926214039,-2.376220465,-2.113955975,-1.875908017,0.891573906,-1.940639973,-1.667690039,0.871743977,5.072346687,0.271636516
963,-1.603266001,-4.088566780,16.161731720,-0.319801867,-0.815542340,3.223764420,3.489444971,0.320568621,0.806558549,3.436619997,0.321132988,0.818772972,4.602903366,0.054221660
964,-42.915634155,-5.891272545,34.297653198,-8.560338974,-1.175126195,6.841318607,7.116512299,8.556082726,1.184864640,7.053549767,8.570679665,1.182209969,19.256160736,0.064686924
