landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z
404,-33.025436401,-7.728486538,-7.877802849,-6.587550640,-1.541593432,-1.571377516
405,-18.871501923,-7.182363510,-5.927705765,-3.764279604,-1.432658911,-1.182393551
406,-24.775897980,-4.294904232,-10.310050011,-4.942023754,-0.856700242,-2.056535482
407,-8.572809219,-2.203333378,41.092224121,-1.710009694,-0.439496696,8.196624756
408,-50.865036011,-8.890672684,3.707221031,-10.145998001,-1.773413539,0.739475667
411,-39.058189392,-1.344389081,24.107913971,-7.790897846,-0.268163949,4.808781624
417,17.988473892,-5.108825684,40.517604828,3.588142872,-1.019052386,8.082006454
418,-3.726407528,-1.192847610,35.753936768,-0.743302763,-0.237936124,7.131802082
421,20.852302551,-3.660463810,39.099559784,4.159388065,-0.730149031,7.799149990
425,5.330677986,0.009482857,3.761862278,1.063305020,0.001891536,0.750374913
426,-31.285125732,-6.444639206,42.623172760,-6.240412712,-1.285505772,8.502001762
427,-1.554826736,-8.134416580,41.275352478,-0.310139745,-1.622563958,8.233153343
430,-44.207218170,-6.096891403,-20.353599548,-8.817969322,-1.216140866,-4.059912205
435,-46.153629303,-2.060702801,3.036083221,-9.206218719,-0.411046326,0.605604470
436,-32.855735779,-0.864172935,47.098995209,-6.553700924,-0.172375709,9.394789696
438,-39.891246796,-6.134296417,5.487859249,-7.957067013,-1.223601937,1.094657779
439,-46.014953613,-4.968217850,13.925045013,-9.178556442,-0.991005421,2.777614832
440,-40.622985840,-9.603042603,17.429796219,-8.103026390,-1.915509343,3.476704121
442,11.066329956,-0.628458261,34.232013702,2.207389832,-0.125357941,6.828225613
444,30.412742615,-7.554199219,21.426765442,6.066399574,-1.506828547,4.273975372
445,-29.179100037,-7.939843655,36.300945282,-5.820325851,-1.583752632,7.240913391
446,25.085201263,-8.615077972,21.391433716,5.003719807,-1.718441010,4.266927719
447,-25.192199707,-6.898655891,36.216362000,-5.025063038,-1.376067996,7.224041462
448,0.393926740,-2.578934669,15.526695251,0.078576170,-0.514417529,3.097094297
449,-30.931003571,-9.221416473,21.786186218,-6.169776440,-1.839386702,4.345668793
450,-30.186332703,-6.590603352,5.638309956,-6.021237373,-1.314621091,1.124668002
452,27.385570526,-6.533213615,19.691257477,5.462572575,-1.303173542,3.927795410
453,-32.614093781,-0.486712098,-14.106796265,-6.505500793,-0.097083978,-2.813868523
454,-14.841524124,-7.665474892,8.249657631,-2.960423946,-1.529024601,1.645550966
456,-6.975831509,-6.460224152,31.221313477,-1.391462088,-1.288614511,6.227684021
458,-29.870065689,-4.185822487,9.261358261,-5.958152294,-0.834941804,1.847353816
461,-54.288299561,-2.945029974,-23.105030060,-10.828832626,-0.587442160,-4.608737469
463,11.416109085,-9.941138268,15.391368866,2.277159929,-1.982948899,3.070101023
464,-33.332099915,-0.602061152,5.167774200,-6.648720741,-0.120092534,1.030810714
468,27.197679520,-7.519479752,19.552343369,5.425094128,-1.499903083,3.900086403
469,4.446355343,-7.312740326,12.535864830,0.886910081,-1.458665013,2.500516415
477,-39.588306427,-9.923215866,-5.580434799,-7.896639824,-1.979373932,-1.113123775
478,-28.475227356,-3.639607906,-7.325506210,-5.679924965,-0.725988925,-1.461211443
481,34.049789429,-1.958543777,24.920902252,6.791877270,-0.390668780,4.970947266
482,30.238157272,-3.126071930,25.580818176,6.031575203,-0.623554468,5.102580070
487,-35.616363525,-8.005536079,23.387092590,-7.104360580,-1.596856236,4.664999962
491,-6.342772961,-4.128767014,0.374513626,-1.265186548,-0.823561013,0.074703857
495,-13.228642464,-8.052602768,2.643983841,-2.638704062,-1.606244564,0.527392805
498,34.819816589,-3.784459591,29.493877411,6.945474148,-0.754882395,5.883114338
499,-17.601758957,-3.751190662,-5.311530113,-3.511005163,-0.748246253,-1.059485555
502,-48.856246948,-3.110410929,29.079164505,-9.745306969,-0.620430529,5.800391674
503,8.590311050,-4.994652748,-18.771472931,1.713500738,-0.996278405,-3.744326830
505,-33.494426727,-4.948811531,6.234876633,-6.681099892,-0.987134516,1.243664622
506,-13.191807747,-3.451440334,4.323725700,-2.631356716,-0.688455343,0.862449229
509,21.368907928,-3.724674702,27.257846832,4.262434483,-0.742957115,5.437095642
512,-6.471122742,-8.646807671,33.194610596,-1.290788412,-1.724770069,6.621295929
514,0.055854797,-5.880156517,-9.497172356,0.011141300,-1.172908902,-1.894391418
515,-43.582725525,-5.727753639,43.285179138,-8.693402290,-1.142509341,8.634051323
516,-40.564117432,-3.534320831,25.859561920,-8.091283798,-0.704987466,5.158181190
517,-38.568668365,-7.300851345,22.244495392,-7.693253517,-1.456293464,4.437087059
518,16.725887299,-7.308343887,32.756603241,3.336296082,-1.457787991,6.533926964
519,0.536210895,-8.996573448,9.950759888,0.106957451,-1.794537544,1.984868169
520,-30.882003784,-7.081478119,-0.987743378,-6.160002232,-1.412535310,-0.197024181
521,-27.302288055,-5.897152901,27.516124725,-5.445960045,-1.176299214,5.488614082
526,-23.993963242,-8.875946045,45.423782349,-4.786051750,-1.770476103,9.060636520
532,12.267902374,-4.810381889,15.068752289,2.447066307,-0.959522069,3.005748987
533,4.084550381,-7.471686840,26.866041183,0.814741194,-1.490369916,5.358942509
534,-35.202713013,-4.218710423,-17.724912643,-7.021850109,-0.841501951,-3.535570621
539,-16.979125977,-8.626825333,-13.676567078,-3.386809349,-1.720784187,-2.728051186
540,35.961830139,-7.021674633,23.792861938,7.173270226,-1.400606394,4.745938301
541,1.257020950,-0.908337712,-8.506956100,0.250736713,-0.181185216,-1.696874022
542,-50.664894104,-5.916448593,1.378453255,-10.106076241,-1.180148125,0.274958700
544,-22.683452606,-3.832364798,-8.265441895,-4.524645805,-0.764437973,-1.648699403
548,35.793823242,-7.266109467,33.266761780,7.139758110,-1.449363589,6.635687828
549,-33.114601135,-0.519204199,32.368881226,-6.605336189,-0.103565142,6.456588268
550,-1.226005316,-3.898939133,49.069931030,-0.244550049,-0.777717471,9.787930489
555,5.241515160,-1.053509474,-19.754993439,1.045519829,-0.210142478,-3.940508842
556,-11.579550743,-3.769713640,46.424758911,-2.309761524,-0.751941025,9.260300636
557,-43.494346619,-1.718304157,-22.008155823,-8.675773621,-0.342748404,-4.389945030
